resultId,raceId,driverId,constructorId,number,grid,position,positionText,FinishPos,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,Driver,Team,year,GP_long,QualifyingPosition,GP,GapToPole,PitstopCount,AvgPitstopTime,AvgPoints,AvgFinishPos,MomentumPoints,MomentumFinish,CumulativePitstopCount,CumulativeAvgPitstopTime,Experience,OvertakeDifficulty,AvgAbsPaceScore_Combination_Dry,AvgAbsPaceScore_Slow Corners_Dry,AvgAbsPaceScore_Straights_Dry,AvgRelPaceScore_Combination_Dry,AvgRelPaceScore_Slow Corners_Dry,AvgRelPaceScore_Straights_Dry,AvgPitDur,PitCount,RacesEntered,AvgAbsPaceScore_Combination_Wet,AvgAbsPaceScore_Fast Corners_Dry,AvgAbsPaceScore_Fast Corners_Wet,AvgAbsPaceScore_Slow Corners_Wet,AvgAbsPaceScore_Straights_Wet,AvgRelPaceScore_Combination_Wet,AvgRelPaceScore_Fast Corners_Dry,AvgRelPaceScore_Fast Corners_Wet,AvgRelPaceScore_Slow Corners_Wet,AvgRelPaceScore_Straights_Wet,Team_enc,Model2023_Pred,PredictedScore,PredictedPosition,ActualTopN,PredTopN,AbsError
26316,1122,848,3,23,12,11,11,11,0.0,50,+1:28.354,4931627,50,9,1:32.307,240.787,1,ALB,Williams,2024,Saudi Arabian Grand Prix,12.0,Saudi Arabian,1.5079999999999956,1.0,21.723,1.796875,12.796875,0.0,13.666666666666666,1.1328125,40.57657526041667,81,1.0,-0.5190177858985013,-0.4918928058708039,-0.15293032978963078,0.9965673696467535,0.998256451891188,1.005143515416351,26.033128205128207,39.0,81,0.12043014431541588,-0.09233727921495156,0.27865784675836824,-0.06044614626741423,-0.6238817215229182,1.0107117313575684,1.0361592952525032,1.0924678868690938,1.1764404549038667,0.9986433367612978,0,-4.705562660532423,-1.1760032259926374,10.0,False,False,1.0
26310,1122,4,117,14,4,5,5,5,10.0,50,+35.759,4879032,43,13,1:32.387,240.579,1,ALO,Aston Martin,2024,Saudi Arabian Grand Prix,4.0,Saudi Arabian,0.3739999999999952,1.0,22.129,5.934383202099737,8.388451443569554,3.3333333333333335,8.333333333333334,1.136482939632546,40.742630489938755,377,1.0,-0.05065983839858124,0.023506500424230647,0.018301177549355778,1.0004188372318696,1.0055732130219297,0.9987486111160934,24.765930232558137,43.0,377,0.02483320409922596,0.002863465599112465,-0.03259175734195502,0.03354490081626526,0.46677959670377445,1.09495626076742,1.0460741449873898,1.0215162755867249,1.0311441482700268,1.0108408829660558,0,0.04292751374891096,-0.7162383247852995,8.0,False,False,3.0
26312,1122,860,6,38,11,7,7,7,6.0,50,+42.679,4885952,50,5,1:32.186,241.103,1,BEA,Ferrari,2024,Saudi Arabian Grand Prix,11.0,Saudi Arabian,1.1699999999999875,1.0,22.457,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3.259928673568989,-0.9047640936033924,9.0,False,False,2.0
26322,1122,822,15,77,16,17,17,17,0.0,49,\N,\N,49,14,1:32.706,239.751,11,BOT,Sauber,2024,Saudi Arabian Grand Prix,16.0,Saudi Arabian,0.14999999999999147,2.0,23.038,7.982142857142857,8.276785714285714,0.0,18.333333333333332,1.8526785714285714,79.14636703869049,218,1.0,-0.5488398274772219,-0.5797560045148012,-0.2661570373129592,0.99873071934833,0.9972163068334347,0.9968394138104703,26.024279069767445,43.0,218,-0.042054186445386714,-0.23196072605366502,-0.017884943338478555,-0.05408481727037057,-0.20475717854447245,1.0816244039752354,1.0129918444407877,1.0108429470083442,0.9906176525917656,1.0079227471700054,0,-3.671653612684879,-1.2235752858312592,12.0,False,False,5.0
26325,1122,842,214,10,18,\N,R,20,0.0,1,\N,\N,\N,0,\N,\N,6,GAS,Alpine F1 Team,2024,Saudi Arabian Grand Prix,18.0,Saudi Arabian,0.6529999999999916,0.0,0.0,2.946564885496183,11.01526717557252,0.0,14.0,1.6793893129770991,88.818031043257,130,1.0,-0.47670941508543635,-0.05496833222926665,-0.3434925360599989,1.0068606083593057,1.006585984813793,0.9976977645747246,24.863095238095237,42.0,130,-0.028593511436642186,-0.02163392981315078,0.1374074871499183,0.11246610752092853,-0.30514132544153744,1.0992133159822899,1.0373804673777212,1.0191370515285816,1.0266074611334743,0.9948455264170984,0,-4.0020789885146595,-1.2235752858312592,13.0,False,False,7.0
26314,1122,1,131,44,8,9,9,9,2.0,50,+47.391,4890664,38,2,1:31.746,242.260,1,HAM,Mercedes,2024,Saudi Arabian Grand Prix,8.0,Saudi Arabian,0.03899999999998727,1.0,20.17,13.872372372372372,4.885885885885886,4.666666666666667,7.666666666666667,1.5525525525525525,54.17551036036036,332,1.0,0.41877202288000276,0.12603047888553068,0.26601360909006794,1.0023183879895319,0.9996783515212468,0.9972940688806857,23.51439024390244,41.0,332,0.013509435159905667,0.15350117573729308,-0.0051935071994945415,0.01270385523623746,0.5345228893950498,1.1022613853405758,1.0406994167493315,1.0189647464416867,1.0412776412830669,1.0101152801121782,0,0.299873319613407,0.6156575733502515,4.0,False,False,5.0
26315,1122,807,210,27,15,10,10,10,1.0,50,+1:16.996,4920269,49,12,1:32.366,240.633,1,HUL,Haas F1 Team,2024,Saudi Arabian Grand Prix,15.0,Saudi Arabian,1.5829999999999984,1.0,21.035,2.5458937198067635,11.980676328502415,0.0,16.666666666666668,1.6763285024154588,46.03498220611916,203,1.0,0.31762064803651974,-0.05248392087105288,-0.08083758139123426,1.00561244568498,1.0057014554850485,1.009179983165257,26.27779166666667,48.0,203,-0.16922673079964431,-0.09742713502196453,0.018230215928496805,-0.047990848388577284,-0.4354601844831469,0.997156591410785,1.0322250051965716,1.0207807525797947,1.0046618851349411,0.9990122664059432,0,-2.937858161805385,-1.1761654180390542,11.0,False,False,1.0
26308,1122,844,6,16,2,3,3,3,16.0,50,+18.639,4861912,50,1,1:31.632,242.561,1,LEC,Ferrari,2024,Saudi Arabian Grand Prix,2.0,Saudi Arabian,0.3189999999999884,1.0,23.419,8.317460317460318,8.103174603174603,16.0,2.6666666666666665,1.626984126984127,76.18162711640213,103,1.0,0.2586244823279804,0.4584141808869625,0.3509084587078003,0.9963353376630858,0.9999503781282155,0.997280039647592,24.353914285714286,35.0,103,0.04672881858001633,0.1497845861185888,-0.2622798575218588,-0.2128251432045306,0.6760286925360494,1.0233722994434564,1.0462535731750184,0.9836324791732763,0.9744142284830298,1.0597036314253936,0,0.05276599919808226,0.8680225143312847,2.0,True,True,1.0
26317,1122,825,210,20,13,12,12,12,0.0,50,+1:45.7373,4955646,47,11,1:32.338,240.706,1,MAG,Haas F1 Team,2024,Saudi Arabian Grand Prix,13.0,Saudi Arabian,1.5479999999999876,1.0,21.46,0.9631578947368421,13.826315789473684,0.0,15.0,1.5421052631578946,45.42128605263158,162,1.0,-0.17720543389873022,-0.42001643769777014,-0.4414930223982629,0.9946792037852246,0.9946247191779471,0.9920344598433215,25.47818604651163,43.0,162,-0.05939671032540534,-0.0922242466082545,-0.038629627031795094,0.04208562914543008,-0.3798783934026988,1.004698541857261,1.0370663682819523,1.0090684884907914,1.0271096697463535,1.0018053843948067,0,-5.061817950802662,-1.2235752858312592,14.0,False,False,2.0
26313,1122,846,1,4,6,8,8,8,4.0,50,+45.708,4888981,1,4,1:31.944,241.738,1,NOR,McLaren,2024,Saudi Arabian Grand Prix,6.0,Saudi Arabian,0.6599999999999966,1.0,22.211,5.847619047619047,8.647619047619047,6.0,10.333333333333334,1.8761904761904762,106.5302226984127,103,1.0,0.3394221576568255,0.41114210750302965,0.05952159744146695,1.0023711610450252,0.9996909240737828,1.0011485624178926,25.5005625,48.0,103,0.025900740716789238,0.08317323453083313,0.004977321575500215,-0.03162086642363064,0.0,1.133125050224301,1.0409121113747795,1.013240498353908,1.027912489164241,0.0,0,0.4374134998058641,0.4865934180864986,5.0,False,False,3.0
